geoid,incomeclass,type,own,hh,mwh,hh_med_income,hh_gini_index,hu_rnt,hu_blt2010,pop_total,lihtc_qualified
53033011900,verylow,mf,own,4,35.794278799999994,71524,0.3322,0.6286931818181818,0,7428,False
53033012000,verylow,mf,own,10,19.1473216,83421,0.3972,0.4427860696517413,0.004353233830845771,3474,False
53033020200,verylow,mf,own,5,61.1438022,72028,0.3999,0.5646032405484005,0,5536,False
53033020401,verylow,mf,own,2,105.2027354,61330,0.3643,0.6437816544738323,0.011254924029262802,3525,False
53033020402,verylow,mf,own,7,105.1683717,71758,0.3898,0.606703146374829,0.00786593707250342,5600,False
53033020500,verylow,mf,own,6,155.2183493,66786,0.3778,0.6173757810175543,0.008628384409401963,6119,False
53033020600,verylow,mf,own,4,101.81211309999999,72500,0.4061,0.49875311720698257,0,3612,False
53033020800,verylow,mf,own,11,127.9924451,82344,0.458,0.4632009345794392,0,4225,False
53033021400,verylow,mf,own,5,16.2250559,99861,0.466,0.412751677852349,0,4109,False
53033021500,verylow,mf,own,6,72.48305169999998,108750,0.3958,0.3704954954954955,0,4516,False
53033021600,verylow,mf,own,4,83.43938840000001,96066,0.4062,0.6337673246535069,0.01889962200755985,4911,False
53033021700,verylow,mf,own,12,207.0682809,73456,0.4334,0.7007378472222222,0.028428819444444444,8618,False
53033021802,verylow,mf,own,13,119.14859879999999,87922,0.4008,0.6238562091503268,0.006209150326797385,5495,False
53033021803,verylow,mf,own,11,92.26232540000001,74856,0.4318,0.6325903151421983,0.019984627209838585,4694,False
53033021804,verylow,mf,own,4,59.936471700000006,72422,0.4089,0.6439393939393939,0.019886363636363636,4684,False
53033021903,verylow,mf,own,3,98.0727266,71417,0.43120000000000003,0.565267175572519,0.015267175572519083,5787,False
53033021904,verylow,mf,own,6,111.7235533,89615,0.507,0.6498459167950693,0.011171032357473035,4993,False
53033021905,verylow,mf,own,1,14.4642771,92614,0.361,0.3675527039413382,0.022914757103574702,5501,False
53033021906,verylow,mf,own,2,35.59232510000001,81250,0.395,0.5378313253012048,0,4132,False
53033022001,verylow,mf,own,8,83.13182499999998,70591,0.4224,0.6962025316455697,0.005142405063291139,5009,False
53033022005,verylow,mf,own,4,49.65614610000001,90900,0.3555,0.6433727034120735,0.005249343832020997,4891,False
