Class,CompletedDate,Latitude,Longitude,Installer
Single family,2010-12-22,47.67829597,-122.29876524,SUNERGY SYSTEMS INC.
Single family,2013-10-22,47.68931465,-122.35734185,ARTISAN ELECTRIC INC
Single family,2016-04-06,47.53562816,-122.26845221,ALT ELECTRIC LLC
Single family,2013-09-25,47.65688967,-122.33354286,PUGETSOUNDSOLAR
Single family,2009-01-06,47.62554779,-122.31227832,PUGETSOUNDSOLAR
Single family,2014-03-12,47.60833281,-122.3073668,PUGETSOUNDSOLAR
Single family,2013-07-10,47.65952642,-122.33588892,PUGETSOUNDSOLAR
Single family,2012-12-20,47.72318115,-122.3730103,PUGETSOUNDSOLAR
Single family,2013-12-18,47.62982356,-122.30834214,ARTISAN ELECTRIC INC
Single family,2018-03-16,47.70665821,-122.37845324,PUGETSOUNDSOLAR
Single family,2012-12-12,47.72089845,-122.33136004,EARL CHILDS
Single family,2014-03-14,47.55656149,-122.26563612,ARTISAN ELECTRIC INC
Single family,2014-12-23,47.67197386,-122.40396441,PUGETSOUNDSOLAR
Single family,2013-05-31,47.57004492,-122.28158038,WEST SEATTLE ELECTRIC & SOLAR
Single family,2017-12-22,47.69258023,-122.39326187,"SMART ENERGY TODAY, INC"
Multifamily,2013-09-06,47.58504189,-122.31467975,PUGETSOUNDSOLAR
Single family,2012-02-13,47.56227231,-122.2919483,PUGETSOUNDSOLAR
Single family,2014-12-19,47.65720252,-122.33715657,PUGETSOUNDSOLAR
Single family,2012-08-23,47.56260047,-122.29206474,PUGETSOUNDSOLAR
Single family,2014-01-06,47.62578663,-122.301752,ARTISAN ELECTRIC INC
Single family,2014-04-29,47.61399123,-122.29594114,PUGETSOUNDSOLAR
Single family,2017-07-07,47.73035967,-122.35123989,SOLTERRA GLOBAL LLC
Single family,2014-02-18,47.59580339,-122.29658954,PUGETSOUNDSOLAR
Single family,2015-06-04,47.64009015,-122.30953971,PUGETSOUNDSOLAR
Single family,2015-01-20,47.58414051,-122.29331956,PUGETSOUNDSOLAR
Single family,2017-11-29,47.62761378,-122.28718441,PUGETSOUNDSOLAR
Single family,2004-04-16,47.56853603,-122.35882133,E & F ELECTRIC INCORPORATED
Single family,2014-03-04,47.56441726,-122.28413535,ARTISAN ELECTRIC INC
Single family,2017-08-28,47.67351703,-122.39862332,PUGETSOUNDSOLAR
Single family,2013-11-18,47.6625962,-122.34768361,EARL CHILDS
Single family,2015-02-03,47.7125016,-122.28024227,PUGETSOUNDSOLAR
Single family,2015-06-25,47.67467745,-122.40327456,PUGETSOUNDSOLAR
