geoid,hu_own,hu_blt1970,hu_no_mor,hu_med_val,hu_ex_1000,edu,wh_race,hh_med_income,hh_gini_index,lihtc,hh_high_sf_own,hu_mwh,sol_instl,cluster
53033001200,0.13968315301391035,0.43952859350850076,0.03863987635239567,311900,0.12074961360123648,0.5640634533251982,0.6235509456985967,31863,0.5563,TRUE,0.10688768219491283,85.95275746305819,1.5455950540958268,2
53033001300,0.2696520618556701,0.3286082474226804,0.04188144329896907,306300,0.23614690721649484,0.6290726817042607,0.6611984506721349,56744,0.4617,FALSE,0.19566242338519566,89.0590755231689,1.610824742268041,1
53033001600,0.5076335877862596,0.8047982551799345,0.24863685932388221,657200,0.6254089422028354,0.6869374847968864,0.8474823643882267,96193,0.4593,FALSE,0.346242774566474,88.37522008884939,15.267175572519083,3
53033001701,0.2604166666666667,0.35344827586206895,0.053520114942528736,313500,0.23814655172413793,0.6310727496917385,0.7067817509247842,65188,0.4822,FALSE,0.23583934088568487,101.83756288817777,3.2327586206896552,1
53033001702,0.3182492581602374,0.4258160237388724,0.09718100890207715,378700,0.30155786350148367,0.6603901996370236,0.7955989110707804,62786,0.3992,FALSE,0.1889763779527559,91.37372690503635,4.080118694362018,1
53033001800,0.2621332602138744,0.2476007677543186,0.04030710172744722,370200,0.24431039210309843,0.5919110599961663,0.750239601303431,87159,0.3809,FALSE,0.29493087557603687,84.05635921650186,1.9193857965451055,1
53033001900,0.3404099560761347,0.4652269399707174,0.12371888726207907,374700,0.3389458272327965,0.6282024137200931,0.7183993224645353,61391,0.5381,FALSE,0.23739990579368817,87.9259677603694,1.8301610541727673,1
53033002e3,0.33657587548638135,0.5398832684824902,0.12013618677042802,442200,0.316147859922179,0.6713888888888889,0.8533333333333334,80400,0.471,FALSE,0.30019120458891013,85.7966050148906,4.377431906614786,1
53033002100,0.4182939362795478,0.7004110996916753,0.1947584789311408,448500,0.3869475847893114,0.6673095467695275,0.7630183220829315,85759,0.4243,FALSE,0.3107142857142857,86.5320575648173,2.5693730729701953,3
53033002600,0.374859287054409,0.5849906191369606,0.09718574108818011,546400,0.35309568480300185,0.6562437362196833,0.8248145921026258,91458,0.4041,FALSE,0.3230605738575983,90.75477566318389,4.127579737335835,3
53033002900,0.4098286744815149,0.7885482416591524,0.1424706943192065,492300,0.3985572587917042,0.6637229839646758,0.9105275389263304,103750,0.4161,FALSE,0.3673913043478261,101.93639074605824,12.173128944995492,3
53033003e3,0.38169200264375414,0.7319894249834765,0.14243225380039656,496900,0.37838730998017184,0.6135688057352684,0.8786501136562336,90789,0.3719,FALSE,0.3264964420259523,102.40782416274912,7.931262392597489,3
53033003100,0.56485981308411215,0.9061682242990654,0.21046728971962617,497100,0.5723364485981308,0.6583641330547967,0.9390968986019604,101397,0.3447,FALSE,0.3774471417384495,105.11300269649541,7.4766355140186915,3
53033003200,0.29800629590766003,0.6165792235047219,0.1286463798530955,568000,0.3223504721930745,0.7041175756103486,0.8872828859467995,79681,0.4389,FALSE,0.2850899742930591,95.27821202212256,7.76495278069255,1
53033003300,0.24698256593652212,0.5093875726419311,0.07130084935181046,452200,0.24228877961555656,0.7524345709068777,0.8670115642118077,85595,0.3721,FALSE,0.29971088981689686,102.05406295171949,4.917299955297273,1
53033003400,0.41901603095632944,0.7716970702045329,0.11995577667219458,533300,0.4234383637368712,0.7175913019236131,0.8742681906885977,97500,0.38,FALSE,0.35361730899256255,89.07072021625358,10.503040353786623,3
53033003500,0.36577338975082274,0.6953455571227081,0.11330512458862248,571000,0.3756464503996239,0.6863636363636364,0.8351010101010101,81563,0.432,FALSE,0.3253880266075388,88.5738061493758,9.402914903620122,3
53033004301,0.2913165266106443,0.496265172735761,0.06722689075630252,579400,0.2754435107376284,0.576381059751973,0.7060315670800451,64797,0.5298,FALSE,0.2719361856417694,77.7801075217458,6.069094304388422,1
53033004302,0.020856610800744878,0.24878957169459961,0.02309124767225326,439100,0.020856610800744878,0.2762624898730759,0.6278692951660816,18908,0.5581,TRUE,0.042837078651685394,34.88130356443801,0,2
53033004400,0.07471955128205128,0.36338141025641024,0.04447115384615385,592800,0.08413461538461539,0.4831239594369608,0.8018767973361586,50500,0.5501,TRUE,0.21330472103004292,86.10634420508961,2.203525641025641,2
