PERMIT YEAR,Class,PROJECT DESCRIPTION,FINALED DATE,CONTRACTOR,TOTAL PAID,SUBAREA,NEIGHBORHOOD AREA,Lat,Lon
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-09-29,ELECTRI-CITY INC,110,North Bellevue,Northwest Bellevue,47.615811,-122.216143
2016,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), GARAGE, 240 volt circuit for CAR CHARGER,",2016-05-12,BEL-RED ELECTRIC SERVICE INC,110,Factoria,Somerset,47.562876,-122.15858
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-12-07,ELECTRI-CITY INC,110,North Bellevue,Northwest Bellevue,47.633617,-122.209756
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-11-22,SEATOWN ELECTRIC CORP,112,Southeast Bellevue,West Lake Sammamish,47.589308,-122.111779
2015,Single family,Install 1 vehicle charging station,2016-03-29,NORTHWEST ELECTRIC & SOLAR,108,Northeast Bellevue,Northeast Bellevue,47.617684,-122.113361
2017,Single family,A Single Family Residential Repair or Replacement Electrical Project Involving (1 Vehicle Charging Station),2017-06-08,IN-HOUSE ELECTRICAL SRVCS INC,112,Crossroads,Lake Hills,47.610295,-122.125359
2017,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2017-02-02,PUGET SOUND SOLAR LLC,112,Newcastle,Cougar Mountain / Lakemont,47.552654,-122.137638
2016,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2016-01-14,GREEN CONCEPTS LLC,110,Southeast Bellevue,Lake Hills,47.593803,-122.153459
2017,Single family,A Single Family Residential Addition to Existing Structure Project Installing {1-Vehicle Charging Station},2017-11-03,NORTHWEST ELECTRIC & SOLAR,112,Southeast Bellevue,Lake Hills,47.60905,-122.157485
2018,Single family,A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station),2018-12-05,CUSTOM ELECTRICAL SERVICES LLC,115,Northeast Bellevue,Northeast Bellevue,47.642013,-122.11515
2013,Single family,A Single Family Residential Alteration to Existing Structure Project Installing {1 Vehicle Charging Station},2013-12-30,ACTIVE ENGINEERING,105,North Bellevue,Northwest Bellevue,47.631052,-122.205041
2011,Single family,"A Single Family Residential Addition to Existing Structure Project Installing {1 Vehicle Charging Station}, Equipment located in Garage",2012-01-05,PUGET SOUND SOLAR LLC,98,Southeast Bellevue,Lake Hills,47.605233,-122.136044
2015,Single family,"A Single Family Residential Alteration to Existing Structure Electrical Project Involving (1 Vehicle Charging Station), Electrical room/Residence",2015-02-06,PUGET SOUND SOLAR LLC,108,Wilburton/ne 8th St,Wilburton,47.616457,-122.168745
